id,alert_type,severity,title,message,terminal_id,regional_hub,threshold,observed_value,is_acknowledged,created_at
22,CONGESTION,Warning,Congestion Alert — Manila Terminal,Terminal operating 4.0% above network average,24,APAC,574.39,579.83,False,2026-01-31 00:39:59
23,CONGESTION,Warning,Congestion Alert — Miami Terminal,Terminal operating 3.8% above network average,31,AMER,574.39,578.83,False,2026-01-20 00:39:59
24,CONGESTION,Warning,Congestion Alert — Charleston Terminal,Terminal operating 4.5% above network average,33,AMER,574.39,582.61,False,2026-01-20 00:39:59
25,CONGESTION,Critical,Congestion Alert — Hamburg Terminal,Terminal operating 6.5% above network average,2,EMEA,574.39,593.64,False,2025-12-27 00:39:59
26,CONGESTION,Warning,Congestion Alert — Antwerp Terminal,Terminal operating 3.2% above network average,3,EMEA,574.39,575.62,False,2026-01-10 00:39:59
27,CONGESTION,Critical,Congestion Alert — Algeciras Terminal,Terminal operating 5.5% above network average,5,EMEA,574.39,588.22,False,2026-01-11 00:39:59
28,CONGESTION,Warning,Congestion Alert — Piraeus Terminal,Terminal operating 3.9% above network average,6,EMEA,574.39,579.53,False,2025-12-16 00:39:59
29,CONGESTION,Warning,Congestion Alert — Ningbo Terminal,Terminal operating 3.3% above network average,17,APAC,574.39,576.02,False,2025-12-21 00:39:59
30,CONGESTION,Warning,Congestion Alert — Manila Terminal,Terminal operating 4.0% above network average,24,APAC,574.39,579.83,False,2025-12-26 00:39:59
31,CONGESTION,Warning,Congestion Alert — Miami Terminal,Terminal operating 3.8% above network average,31,AMER,574.39,578.83,False,2026-01-08 00:39:59
32,CONGESTION,Warning,Congestion Alert — Charleston Terminal,Terminal operating 4.5% above network average,33,AMER,574.39,582.61,False,2026-01-11 00:39:59
33,CONGESTION,Critical,Congestion Alert — Hamburg Terminal,Terminal operating 6.5% above network average,2,EMEA,574.39,593.64,False,2025-11-24 00:39:59
34,CONGESTION,Warning,Congestion Alert — Antwerp Terminal,Terminal operating 3.2% above network average,3,EMEA,574.39,575.62,False,2025-11-18 00:39:59
35,CONGESTION,Critical,Congestion Alert — Algeciras Terminal,Terminal operating 5.5% above network average,5,EMEA,574.39,588.22,False,2025-12-12 00:39:59
36,CONGESTION,Warning,Congestion Alert — Piraeus Terminal,Terminal operating 3.9% above network average,6,EMEA,574.39,579.53,False,2025-12-08 00:39:59
37,CONGESTION,Warning,Congestion Alert — Ningbo Terminal,Terminal operating 3.3% above network average,17,APAC,574.39,576.02,False,2025-11-20 00:39:59
38,CONGESTION,Warning,Congestion Alert — Manila Terminal,Terminal operating 4.0% above network average,24,APAC,574.39,579.83,False,2025-12-04 00:39:59
39,CONGESTION,Warning,Congestion Alert — Miami Terminal,Terminal operating 3.8% above network average,31,AMER,574.39,578.83,False,2025-11-23 00:39:59
40,CONGESTION,Warning,Congestion Alert — Charleston Terminal,Terminal operating 4.5% above network average,33,AMER,574.39,582.61,False,2025-12-06 00:39:59
41,CONGESTION,Critical,Congestion Alert — Hamburg Terminal,Terminal operating 6.5% above network average,2,EMEA,574.39,593.64,False,2025-10-22 00:39:59
42,CONGESTION,Warning,Congestion Alert — Antwerp Terminal,Terminal operating 3.2% above network average,3,EMEA,574.39,575.62,False,2025-10-19 00:39:59
43,CONGESTION,Critical,Congestion Alert — Algeciras Terminal,Terminal operating 5.5% above network average,5,EMEA,574.39,588.22,False,2025-10-24 00:39:59
44,CONGESTION,Warning,Congestion Alert — Piraeus Terminal,Terminal operating 3.9% above network average,6,EMEA,574.39,579.53,False,2025-10-30 00:39:59
45,CONGESTION,Warning,Congestion Alert — Ningbo Terminal,Terminal operating 3.3% above network average,17,APAC,574.39,576.02,False,2025-10-25 00:39:59
46,CONGESTION,Warning,Congestion Alert — Manila Terminal,Terminal operating 4.0% above network average,24,APAC,574.39,579.83,False,2025-10-21 00:39:59
47,CONGESTION,Warning,Congestion Alert — Miami Terminal,Terminal operating 3.8% above network average,31,AMER,574.39,578.83,False,2025-11-11 00:39:59
48,CONGESTION,Warning,Congestion Alert — Charleston Terminal,Terminal operating 4.5% above network average,33,AMER,574.39,582.61,False,2025-11-10 00:39:59
