movement_id,date_id,terminal_id,vessel_id,cargo_type,container_count,move_duration,shift,is_anomaly,anomaly_score
69,2020-01-08,11,179,Textiles,559,515.06,Night,0,0.237
70,2020-01-08,2,370,Machinery,1229,530.68,Night,0,0.265
71,2020-01-08,5,317,Vehicles,1080,432.55,Night,0,0.022
72,2020-01-09,42,76,Machinery,1492,484.21,Night,0,0.039
73,2020-01-09,36,602,Raw Materials,364,422.79,Day,0,0.037
74,2020-01-09,10,312,Chemicals,760,563.5,Day,0,0.068
75,2020-01-09,34,291,Food,502,477.95,Day,0,0.091
76,2020-01-09,35,96,Textiles,1289,458.67,Day,0,0.198
77,2020-01-09,39,346,Raw Materials,158,612.96,Day,0,0.079
78,2020-01-09,14,586,Textiles,1408,1960.36,Night,1,0.864
79,2020-01-09,42,310,Chemicals,931,494.89,Night,0,0.132
80,2020-01-10,30,209,Textiles,394,529.95,Night,0,0.216
81,2020-01-10,23,409,Raw Materials,858,489.69,Day,0,0.037
82,2020-01-10,29,254,Electronics,203,518.3,Day,0,0.115
83,2020-01-10,40,429,Raw Materials,427,551.11,Day,0,0.057
84,2020-01-10,11,511,Machinery,731,399.56,Night,0,0.027
85,2020-01-10,26,518,Chemicals,540,496.37,Night,0,0.179
86,2020-01-10,42,482,Textiles,116,484.66,Night,0,0.129
87,2020-01-10,17,375,Food,192,440.56,Night,0,0.166
88,2020-01-10,5,396,Raw Materials,1226,550.47,Night,0,0.297
89,2020-01-11,40,122,Electronics,906,394.39,Day,0,0.11
90,2020-01-11,10,204,Textiles,182,1347.57,Night,1,0.8
91,2020-01-11,31,532,Chemicals,1341,552.64,Night,0,0.096
92,2020-01-11,26,632,Textiles,788,513.51,Night,0,0.153
93,2020-01-11,32,577,Machinery,134,474.27,Night,0,0.175
94,2020-01-11,45,28,Food,1442,549.7,Night,0,0.233
95,2020-01-11,37,234,Textiles,1083,549.35,Day,0,0.252
96,2020-01-11,10,249,Textiles,325,577.46,Day,0,0.132
97,2020-01-11,27,156,Vehicles,517,419.9,Night,0,0.262
98,2020-01-11,4,142,Textiles,765,546.8,Day,0,0.144
99,2020-01-11,25,322,Machinery,1191,502.23,Day,0,0.216
100,2020-01-12,45,271,Chemicals,604,539.6,Night,0,0.09
101,2020-01-12,20,296,Vehicles,1101,499.52,Day,0,0.239
102,2020-01-12,18,295,Textiles,1485,561.71,Day,0,0.269
103,2020-01-12,26,354,Food,186,491.72,Day,0,0.133
104,2020-01-12,17,491,Chemicals,1203,594.41,Day,0,0.169
105,2020-01-12,18,141,Textiles,1301,504.45,Day,0,0.068
106,2020-01-12,15,54,Machinery,776,520.81,Day,0,0.03
107,2020-01-12,9,6,Machinery,1437,602.23,Day,0,0.06
108,2020-01-12,19,329,Vehicles,221,461.57,Night,0,0.027
109,2020-01-12,37,238,Chemicals,955,540.01,Day,0,0.299
110,2020-01-12,26,508,Vehicles,692,499.31,Day,0,0.003
111,2020-01-13,39,110,Food,1030,551.9,Night,0,0.282
112,2020-01-13,33,480,Chemicals,330,497.52,Night,0,0.219
113,2020-01-13,42,264,Electronics,790,528.81,Day,0,0.053
114,2020-01-13,41,416,Textiles,771,439.01,Night,0,0.201
115,2020-01-13,12,144,Food,608,544.07,Night,0,0.08
116,2020-01-13,22,310,Food,1438,520.79,Day,0,0.071
117,2020-01-13,43,122,Food,427,434.47,Night,0,0.211
118,2020-01-13,20,121,Food,1358,532.36,Night,0,0.287
119,2020-01-13,31,157,Vehicles,1340,452.62,Night,0,0.227
120,2020-01-13,43,224,Vehicles,1320,574.68,Day,0,0.025
121,2020-01-14,34,371,Textiles,329,570.59,Day,0,0.172
122,2020-01-14,10,169,Raw Materials,1165,520.88,Night,0,0.204
123,2020-01-14,46,598,Electronics,1145,509.61,Night,0,0.125
124,2020-01-14,37,60,Vehicles,731,491.09,Night,0,0.119
125,2020-01-14,1,224,Electronics,967,512.51,Day,0,0.28
126,2020-01-14,5,484,Food,937,529.56,Day,0,0.041
127,2020-01-14,42,431,Machinery,1018,577.9,Night,0,0.205
128,2020-01-14,43,553,Vehicles,812,451.64,Day,0,0.298
129,2020-01-14,26,542,Vehicles,556,582.34,Day,0,0.139
130,2020-01-15,35,435,Raw Materials,570,427.3,Night,0,0.104
131,2020-01-15,18,194,Electronics,1452,433.23,Day,0,0.005
132,2020-01-15,14,69,Textiles,168,534.34,Day,0,0.202
133,2020-01-15,4,251,Machinery,998,525.07,Day,0,0.017
134,2020-01-15,33,297,Raw Materials,1279,559.37,Day,0,0.179
135,2020-01-15,44,329,Food,393,569.47,Day,0,0.083
136,2020-01-15,36,606,Vehicles,1490,528.35,Day,0,0.149
137,2020-01-15,23,391,Vehicles,952,467.87,Night,0,0.161
138,2020-01-15,16,231,Raw Materials,395,522.71,Night,0,0.274
139,2020-01-15,36,423,Textiles,1185,526.87,Night,0,0.194
140,2020-01-15,29,380,Textiles,490,539.34,Day,0,0.113
141,2020-01-16,39,41,Chemicals,1303,488.8,Day,0,0.261
142,2020-01-16,22,311,Chemicals,489,451.3,Day,0,0.035
143,2020-01-16,31,249,Machinery,590,440.46,Day,0,0.16
144,2020-01-16,23,316,Food,1150,485.47,Night,0,0.14
145,2020-01-16,31,328,Food,740,467.48,Day,0,0.044
146,2020-01-16,17,567,Food,412,550.52,Night,0,0.069
147,2020-01-16,37,252,Textiles,1440,555.29,Night,0,0.147
148,2020-01-16,42,503,Chemicals,821,485.18,Night,0,0.216
149,2020-01-16,32,189,Textiles,169,508.42,Day,0,0.015
150,2020-01-16,1,423,Raw Materials,1391,503.46,Day,0,0.212
151,2020-01-17,14,518,Food,223,445.16,Night,0,0.145
152,2020-01-17,32,17,Textiles,1229,463.09,Day,0,0.005
153,2020-01-17,18,549,Electronics,1128,553.67,Night,0,0.273
154,2020-01-17,7,99,Chemicals,493,428.48,Day,0,0.076
155,2020-01-17,23,274,Electronics,864,564.46,Night,0,0.209
156,2020-01-17,20,83,Electronics,930,491.33,Day,0,0.166
157,2020-01-18,41,10,Electronics,1123,544.9,Day,0,0.293
158,2020-01-18,7,541,Chemicals,532,474.65,Day,0,0.208
159,2020-01-18,37,487,Electronics,252,479.78,Night,0,0.197
160,2020-01-18,12,323,Chemicals,1302,483.0,Day,0,0.246
161,2020-01-18,26,79,Chemicals,1254,513.02,Night,0,0.269
162,2020-01-18,22,394,Raw Materials,260,599.29,Day,0,0.292
163,2020-01-19,7,448,Raw Materials,255,464.87,Day,0,0.119
164,2020-01-19,21,31,Raw Materials,1022,567.72,Night,0,0.107
165,2020-01-19,25,443,Vehicles,1299,508.17,Day,0,0.239
166,2020-01-19,46,76,Food,415,478.28,Day,0,0.235
167,2020-01-19,10,399,Food,318,597.5,Night,0,0.228
168,2020-01-19,7,136,Chemicals,982,573.8,Day,0,0.166
169,2020-01-20,7,27,Food,1235,562.29,Day,0,0.116
170,2020-01-20,19,424,Raw Materials,273,535.84,Night,0,0.168
171,2020-01-20,16,586,Vehicles,879,551.46,Day,0,0.044
172,2020-01-20,11,446,Machinery,713,538.65,Night,0,0.023
173,2020-01-20,17,253,Textiles,1362,522.75,Night,0,0.285
174,2020-01-20,22,636,Raw Materials,774,546.6,Night,0,0.129
175,2020-01-20,42,609,Food,756,467.57,Day,0,0.053
176,2020-01-20,26,327,Vehicles,1396,473.9,Night,0,0.173
177,2020-01-20,16,334,Food,904,430.5,Night,0,0.299
178,2020-01-21,44,564,Vehicles,1045,614.97,Day,0,0.063
179,2020-01-21,19,71,Vehicles,1122,520.71,Night,0,0.046
180,2020-01-21,28,387,Machinery,1324,554.22,Day,0,0.12
181,2020-01-21,33,429,Raw Materials,836,493.59,Day,0,0.274
182,2020-01-21,7,255,Chemicals,1425,431.13,Night,0,0.169
183,2020-01-21,42,410,Raw Materials,981,515.68,Night,0,0.224
184,2020-01-21,36,595,Machinery,866,542.98,Day,0,0.232
185,2020-01-22,45,513,Food,150,459.1,Day,0,0.026
186,2020-01-22,10,357,Food,1032,512.04,Night,0,0.156
187,2020-01-22,23,488,Machinery,1026,494.68,Day,0,0.035
188,2020-01-22,22,112,Vehicles,599,541.59,Day,0,0.166
189,2020-01-22,22,574,Machinery,574,537.47,Night,0,0.197
190,2020-01-22,26,30,Machinery,1312,446.29,Day,0,0.001
191,2020-01-22,14,211,Raw Materials,228,421.77,Night,0,0.11
192,2020-01-22,13,469,Food,1473,474.26,Day,0,0.158
193,2020-01-22,41,321,Textiles,903,466.98,Night,0,0.185
194,2020-01-22,44,305,Vehicles,374,482.25,Day,0,0.072
195,2020-01-23,12,383,Textiles,895,487.98,Day,0,0.056
196,2020-01-23,41,551,Textiles,441,539.39,Day,0,0.042
197,2020-01-23,21,462,Raw Materials,835,570.4,Day,0,0.115
198,2020-01-23,36,518,Machinery,1107,487.57,Night,0,0.252
199,2020-01-23,32,172,Textiles,163,1203.36,Day,1,0.787
200,2020-01-23,30,580,Textiles,1146,498.22,Night,0,0.034
201,2020-01-24,35,376,Raw Materials,1003,367.38,Day,0,0.249
202,2020-01-24,16,305,Machinery,638,469.46,Day,0,0.245
203,2020-01-24,29,121,Chemicals,1304,477.67,Day,0,0.128
204,2020-01-24,40,143,Raw Materials,523,399.57,Day,0,0.171
205,2020-01-24,35,288,Food,699,499.89,Day,0,0.296
206,2020-01-24,44,98,Raw Materials,942,534.76,Day,0,0.298
207,2020-01-24,42,130,Chemicals,399,467.49,Day,0,0.203
208,2020-01-24,32,146,Vehicles,948,411.49,Night,0,0.023
209,2020-01-24,6,413,Vehicles,855,453.97,Night,0,0.261
210,2020-01-24,6,470,Raw Materials,229,513.04,Night,0,0.119
211,2020-01-24,28,217,Food,761,537.36,Night,0,0.17
212,2020-01-24,32,352,Electronics,303,469.33,Day,0,0.251
213,2020-01-25,8,162,Machinery,101,544.42,Night,0,0.273
214,2020-01-25,42,310,Raw Materials,661,504.2,Day,0,0.108
215,2020-01-25,6,381,Electronics,911,459.09,Day,0,0.129
216,2020-01-25,6,98,Chemicals,1076,447.75,Day,0,0.178
217,2020-01-25,34,456,Electronics,803,581.73,Day,0,0.04
218,2020-01-25,5,235,Electronics,309,366.71,Night,0,0.11
219,2020-01-26,9,392,Vehicles,1486,1664.68,Day,1,0.832
220,2020-01-26,14,156,Textiles,1006,538.88,Night,0,0.026
221,2020-01-26,7,144,Textiles,886,475.17,Day,0,0.074
222,2020-01-26,42,87,Textiles,1330,541.9,Day,0,0.182
223,2020-01-26,45,28,Chemicals,1160,466.5,Night,0,0.194
224,2020-01-26,16,507,Electronics,593,478.96,Night,0,0.178
225,2020-01-26,34,13,Food,370,422.2,Night,0,0.164
226,2020-01-26,12,483,Electronics,1302,581.13,Day,0,0.079
227,2020-01-27,4,408,Vehicles,1126,517.54,Night,0,0.192
228,2020-01-27,35,631,Food,271,473.03,Day,0,0.153
229,2020-01-27,14,160,Machinery,1301,431.48,Night,0,0.02
230,2020-01-27,45,448,Electronics,600,436.59,Day,0,0.13
231,2020-01-27,30,627,Food,1464,538.15,Day,0,0.212
232,2020-01-27,45,12,Machinery,810,411.52,Day,0,0.235
233,2020-01-28,17,171,Chemicals,650,487.87,Night,0,0.101
234,2020-01-28,28,279,Food,1280,505.33,Day,0,0.149
235,2020-01-28,33,369,Machinery,1260,541.29,Day,0,0.268
236,2020-01-28,44,119,Vehicles,1142,1734.83,Day,1,0.704
237,2020-01-28,3,484,Machinery,407,1778.79,Night,1,0.914
238,2020-01-28,42,430,Food,608,621.22,Day,0,0.216
239,2020-01-28,18,80,Electronics,1128,484.71,Night,0,0.155
240,2020-01-28,3,411,Machinery,678,499.45,Day,0,0.093
241,2020-01-28,6,567,Electronics,855,544.49,Night,0,0.187
242,2020-01-28,30,378,Raw Materials,500,567.99,Night,0,0.164
243,2020-01-28,16,155,Machinery,148,500.8,Day,0,0.263
244,2020-01-29,1,386,Electronics,520,547.05,Night,0,0.071
245,2020-01-29,32,62,Vehicles,673,598.7,Day,0,0.156
246,2020-01-29,45,382,Vehicles,273,551.68,Night,0,0.152
247,2020-01-29,41,404,Textiles,1262,577.99,Day,0,0.088
248,2020-01-29,21,403,Food,1027,533.03,Night,0,0.022
249,2020-01-29,13,140,Chemicals,316,527.31,Day,0,0.161
250,2020-01-29,14,463,Machinery,642,549.02,Night,0,0.027
251,2020-01-29,44,312,Chemicals,771,558.45,Day,0,0.119
252,2020-01-30,44,307,Raw Materials,456,1475.38,Night,1,0.836
253,2020-01-30,36,256,Machinery,308,1676.49,Day,1,0.995
254,2020-01-30,9,203,Food,1390,492.47,Night,0,0.025
255,2020-01-30,38,266,Electronics,232,529.3,Day,0,0.028
256,2020-01-30,22,126,Machinery,203,565.54,Day,0,0.172
257,2020-01-30,26,509,Machinery,1499,484.38,Day,0,0.082
258,2020-01-31,10,36,Vehicles,704,521.02,Day,0,0.265
259,2020-01-31,31,63,Food,884,530.44,Day,0,0.158
260,2020-01-31,41,557,Machinery,835,554.37,Day,0,0.234
261,2020-01-31,23,580,Machinery,653,538.83,Night,0,0.269
262,2020-01-31,18,60,Textiles,832,530.05,Night,0,0.3
263,2020-01-31,11,103,Vehicles,593,492.59,Day,0,0.017
264,2020-01-31,15,590,Food,455,610.9,Night,0,0.178
265,2020-01-31,45,368,Vehicles,820,566.98,Day,0,0.056
266,2020-01-31,32,556,Chemicals,1104,1073.1,Night,1,0.88
267,2020-02-01,34,490,Food,1357,531.26,Day,0,0.276
268,2020-02-01,21,61,Chemicals,1301,534.58,Day,0,0.042
269,2020-02-01,8,539,Electronics,865,503.29,Night,0,0.101
270,2020-02-01,21,140,Vehicles,994,434.72,Day,0,0.288
271,2020-02-01,42,325,Vehicles,1250,476.78,Day,0,0.067
272,2020-02-01,38,180,Food,703,379.73,Night,0,0.219
273,2020-02-02,37,401,Chemicals,1333,472.18,Day,0,0.192
274,2020-02-02,7,509,Food,259,592.56,Day,0,0.295
275,2020-02-02,11,91,Machinery,123,481.36,Night,0,0.077
276,2020-02-02,7,2,Machinery,997,546.13,Day,0,0.291
277,2020-02-02,27,505,Food,1218,450.86,Night,0,0.173
278,2020-02-02,44,231,Machinery,250,569.53,Day,0,0.01
279,2020-02-02,2,327,Electronics,251,447.96,Night,0,0.023
280,2020-02-02,6,347,Vehicles,163,588.21,Night,0,0.196
281,2020-02-02,39,445,Electronics,307,433.24,Day,0,0.166
282,2020-02-02,35,272,Food,586,618.79,Night,0,0.118
283,2020-02-02,36,503,Electronics,838,531.54,Day,0,0.188
284,2020-02-03,13,100,Chemicals,449,494.15,Day,0,0.293
285,2020-02-03,31,119,Raw Materials,914,397.63,Night,0,0.193
286,2020-02-03,25,190,Machinery,856,517.38,Night,0,0.013
287,2020-02-03,29,477,Chemicals,650,484.23,Night,0,0.029
288,2020-02-03,43,353,Raw Materials,1307,490.08,Night,0,0.018
289,2020-02-03,25,536,Textiles,1072,499.32,Night,0,0.118
290,2020-02-03,46,36,Electronics,1019,480.22,Day,0,0.295
291,2020-02-03,14,198,Electronics,967,565.62,Day,0,0.247
292,2020-02-03,10,610,Food,237,557.36,Night,0,0.167
293,2020-02-04,21,283,Raw Materials,125,517.4,Night,0,0.126
294,2020-02-04,27,154,Textiles,1304,446.43,Day,0,0.289
295,2020-02-04,7,109,Raw Materials,685,573.4,Day,0,0.079
296,2020-02-04,42,498,Electronics,452,418.83,Night,0,0.043
297,2020-02-04,39,412,Machinery,778,498.48,Day,0,0.081
298,2020-02-04,24,21,Raw Materials,720,474.95,Night,0,0.253
299,2020-02-04,45,101,Chemicals,715,548.09,Day,0,0.081
300,2020-02-04,27,620,Chemicals,1004,535.56,Day,0,0.247
301,2020-02-04,32,529,Raw Materials,215,470.01,Night,0,0.152
302,2020-02-04,9,537,Chemicals,494,526.07,Day,0,0.06
303,2020-02-05,16,34,Electronics,838,482.38,Night,0,0.152
304,2020-02-05,41,127,Chemicals,862,458.37,Day,0,0.134
305,2020-02-05,31,601,Food,434,545.18,Night,0,0.027
306,2020-02-05,2,396,Chemicals,1271,488.95,Day,0,0.064
307,2020-02-05,15,231,Food,1434,510.61,Day,0,0.23
308,2020-02-05,1,486,Vehicles,454,515.71,Day,0,0.003
309,2020-02-06,39,313,Machinery,871,539.63,Night,0,0.091
310,2020-02-06,34,407,Electronics,1147,475.21,Day,0,0.29
311,2020-02-06,24,575,Food,321,468.39,Night,0,0.098
312,2020-02-06,18,268,Chemicals,407,504.55,Night,0,0.072
313,2020-02-06,4,615,Vehicles,754,494.2,Night,0,0.299
314,2020-02-06,17,429,Machinery,172,425.84,Night,0,0.298
315,2020-02-06,13,352,Vehicles,1194,474.56,Day,0,0.108
316,2020-02-06,20,175,Food,299,455.79,Day,0,0.222
317,2020-02-07,36,188,Vehicles,282,493.09,Night,0,0.126
318,2020-02-07,22,381,Textiles,702,536.68,Night,0,0.035
319,2020-02-07,4,598,Machinery,498,434.55,Day,0,0.09
320,2020-02-07,4,155,Chemicals,801,505.11,Day,0,0.171
321,2020-02-07,30,147,Raw Materials,469,507.1,Night,0,0.053
322,2020-02-07,41,60,Machinery,660,436.83,Day,0,0.232
323,2020-02-07,37,163,Raw Materials,280,515.9,Night,0,0.129
324,2020-02-07,31,393,Electronics,1193,562.36,Day,0,0.112
325,2020-02-07,1,330,Electronics,1485,605.85,Day,0,0.263
326,2020-02-07,20,133,Machinery,1130,503.16,Day,0,0.05
327,2020-02-07,3,306,Machinery,1165,473.97,Night,0,0.299
328,2020-02-08,32,368,Chemicals,926,1150.18,Day,1,0.995
329,2020-02-08,14,23,Electronics,850,479.96,Day,0,0.192
330,2020-02-08,35,50,Vehicles,321,410.32,Day,0,0.006
331,2020-02-08,45,119,Machinery,878,517.86,Night,0,0.062
332,2020-02-08,44,10,Machinery,1455,525.4,Night,0,0.156
333,2020-02-08,40,621,Machinery,314,450.34,Day,0,0.235
334,2020-02-08,32,204,Raw Materials,638,518.34,Day,0,0.292
335,2020-02-08,23,420,Chemicals,180,389.67,Night,0,0.144
336,2020-02-09,1,14,Electronics,1275,474.14,Day,0,0.045
337,2020-02-09,6,524,Vehicles,307,568.23,Day,0,0.293
338,2020-02-09,17,476,Electronics,457,471.03,Day,0,0.256
339,2020-02-09,24,321,Vehicles,337,1883.21,Night,1,0.899
340,2020-02-09,11,337,Machinery,1373,561.49,Night,0,0.22
341,2020-02-09,24,351,Electronics,920,468.28,Day,0,0.207
342,2020-02-09,31,432,Electronics,371,547.2,Day,0,0.018
343,2020-02-10,11,107,Textiles,1088,521.02,Night,0,0.114
344,2020-02-10,23,627,Raw Materials,367,453.18,Day,0,0.146
345,2020-02-10,27,452,Electronics,635,514.07,Day,0,0.157
346,2020-02-10,37,579,Vehicles,792,524.35,Day,0,0.206
347,2020-02-10,40,98,Vehicles,609,410.85,Night,0,0.045
348,2020-02-10,36,628,Electronics,1417,538.88,Day,0,0.152
349,2020-02-10,31,508,Electronics,1106,505.16,Day,0,0.152
350,2020-02-10,36,388,Raw Materials,581,539.64,Night,0,0.133
351,2020-02-10,37,459,Raw Materials,1120,489.34,Day,0,0.196
352,2020-02-10,7,414,Electronics,1241,514.22,Night,0,0.248
353,2020-02-10,39,634,Textiles,1251,544.49,Night,0,0.109
354,2020-02-10,4,229,Food,1247,584.75,Night,0,0.18
355,2020-02-11,43,373,Electronics,299,491.51,Night,0,0.249
356,2020-02-11,19,561,Vehicles,317,1076.35,Night,1,0.742
357,2020-02-11,46,420,Food,1351,519.66,Day,0,0.065
358,2020-02-11,13,347,Raw Materials,948,1587.91,Day,1,0.902
359,2020-02-11,8,462,Vehicles,1306,540.04,Night,0,0.159
360,2020-02-11,4,567,Raw Materials,1298,521.97,Night,0,0.152
361,2020-02-11,12,593,Vehicles,362,587.46,Day,0,0.097
362,2020-02-11,25,429,Food,914,566.08,Day,0,0.291
363,2020-02-11,29,137,Machinery,1333,491.47,Day,0,0.21
364,2020-02-11,21,567,Chemicals,529,448.59,Day,0,0.087
365,2020-02-11,23,136,Textiles,1211,492.89,Day,0,0.106
366,2020-02-12,38,585,Vehicles,1193,477.24,Night,0,0.254
367,2020-02-12,1,536,Electronics,880,580.83,Day,0,0.225
368,2020-02-12,11,294,Chemicals,227,559.51,Night,0,0.089
369,2020-02-12,35,34,Raw Materials,1026,571.99,Night,0,0.259
370,2020-02-12,42,575,Chemicals,1146,578.02,Night,0,0.24
371,2020-02-12,19,49,Machinery,953,624.54,Night,0,0.166
372,2020-02-12,1,258,Textiles,1007,483.71,Day,0,0.273
373,2020-02-12,46,377,Raw Materials,496,491.55,Day,0,0.056
374,2020-02-12,12,527,Machinery,183,538.38,Day,0,0.167
375,2020-02-13,11,599,Electronics,776,1390.09,Night,1,0.879
376,2020-02-13,41,631,Machinery,1272,550.94,Night,0,0.022
377,2020-02-13,46,326,Chemicals,1166,571.76,Day,0,0.161
378,2020-02-13,6,358,Chemicals,1458,546.62,Day,0,0.108
379,2020-02-13,14,634,Textiles,1429,604.52,Night,0,0.271
380,2020-02-13,40,250,Vehicles,757,513.33,Day,0,0.239
381,2020-02-13,8,396,Textiles,679,566.58,Night,0,0.154
382,2020-02-14,29,499,Food,1434,531.16,Day,0,0.154
383,2020-02-14,7,172,Vehicles,234,518.73,Day,0,0.206
384,2020-02-14,7,211,Vehicles,247,572.55,Night,0,0.046
385,2020-02-14,30,340,Electronics,250,602.09,Day,0,0.172
386,2020-02-14,15,265,Machinery,1023,537.06,Night,0,0.13
387,2020-02-14,2,399,Textiles,112,460.26,Day,0,0.176
388,2020-02-14,45,75,Textiles,317,427.4,Night,0,0.206
389,2020-02-14,39,89,Raw Materials,996,936.29,Night,1,0.766
390,2020-02-14,26,559,Vehicles,395,586.8,Night,0,0.266
391,2020-02-14,42,383,Textiles,1236,517.32,Day,0,0.118
392,2020-02-15,6,313,Vehicles,804,533.27,Day,0,0.272
393,2020-02-15,33,146,Chemicals,552,479.34,Day,0,0.201
394,2020-02-15,37,56,Vehicles,1225,464.02,Night,0,0.202
395,2020-02-15,17,101,Vehicles,1289,459.77,Day,0,0.197
396,2020-02-15,7,292,Chemicals,750,526.2,Day,0,0.099
397,2020-02-15,43,314,Textiles,1260,489.57,Day,0,0.001
398,2020-02-15,16,227,Food,836,538.41,Night,0,0.22
399,2020-02-15,31,474,Food,725,488.58,Night,0,0.025
400,2020-02-15,18,144,Food,1383,510.64,Day,0,0.023
401,2020-02-15,2,520,Raw Materials,1291,441.1,Day,0,0.011
402,2020-02-16,35,553,Vehicles,404,477.41,Night,0,0.067
403,2020-02-16,38,298,Machinery,1126,467.39,Day,0,0.199
404,2020-02-16,40,170,Machinery,426,493.77,Day,0,0.285
405,2020-02-16,43,150,Food,182,491.78,Night,0,0.111
406,2020-02-16,3,212,Machinery,1061,567.13,Night,0,0.264
407,2020-02-16,3,332,Vehicles,1167,496.47,Day,0,0.174
408,2020-02-16,37,179,Vehicles,875,457.26,Night,0,0.196
409,2020-02-16,5,530,Machinery,556,456.66,Night,0,0.146
410,2020-02-17,39,7,Machinery,439,487.3,Day,0,0.154
411,2020-02-17,18,217,Chemicals,422,463.01,Day,0,0.069
412,2020-02-17,22,117,Vehicles,1080,555.23,Night,0,0.177
413,2020-02-17,42,421,Chemicals,188,548.18,Day,0,0.154
